symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
IMBIL,n/a,n/a,9.43,100,13.2,100,1657806503173,0.0,0,0,0
KRKR,technologyservices,ad,1.05,100,1.27,100,1657809003064,1.17,500,1657808986060,1200
EPR-E,finance,ps,24.33,100,33.21,100,1657807804744,0.0,0,0,0
DOX,technologyservices,cs,74.92,115,81.6,100,1657809005353,80.845,100,1657808946404,5348
LE,retailtrade,cs,10.37,100,12.35,100,1657808981719,11.35,87,1657808573255,2889
DCP-B,industrialservices,ps,21.21,100,28.11,100,1657808591912,0.0,0,0,0
USX,transportation,cs,2.65,100,3.15,100,1657808246649,0.0,0,0,0
HBNC,finance,cs,16.7,201,17.99,123,1657808991537,16.73,1,1657809002026,692
EDNCU,n/a,n/a,9.86,1000,10.01,1000,1657806812209,0.0,0,0,0
FCUV,n/a,n/a,12.17,100,14.53,154,1657808893308,13.335,2,1657808892456,12
URTY,miscellaneous,et,37.58,600,40.66,100,1657809006020,38.07,4,1657806394806,206
SNUG,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
XVV,miscellaneous,et,22.51,100,30.42,100,1657806300102,28.18,100,1657806891287,100
BGSX+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
SGHT,n/a,n/a,7.72,183,8.48,100,1657808979122,8.47,37,1657808986014,1212
MEC,producermanufacturing,cs,6.29,102,6.98,122,1657808787956,6.93,2,1657808046705,102
MNTSW,n/a,n/a,0.176,100,0.313,100,1657808010168,0.0,0,0,0
VWOB,miscellaneous,et,54.73,100,64.29,100,1657808940498,59.425,100,1657808942259,1075
FENG,consumerservices,ad,4.75,133,5.4,100,1657807012480,0.0,0,0,0
MITT-C,finance,ps,0.0,0,0.0,0,1657805400000,0.0,0,0,0
AVLR,technologyservices,cs,73.49,100,87.18,138,1657808998598,80.79,11,1657808876079,9395
FILL,miscellaneous,et,17.72,100,20.88,100,1657806345813,0.0,0,0,0
MITQ,n/a,n/a,1.06,100,1.29,100,1657807550572,0.0,0,0,0
FWONK,consumerservices,cs,59.12,200,64.6,100,1657809004746,59.15,100,1657808960201,3369
WUGI,miscellaneous,et,34.57,100,40.55,100,1657807548011,0.0,0,0,0
EZU,miscellaneous,et,33.95,2812,33.98,2833,1657809005596,33.93,100,1657808982920,11644
BROS,n/a,n/a,33.36,100,39.1,113,1657808990048,36.41,15,1657808968118,2602
FLMB,miscellaneous,et,22.01,100,25.88,100,1657807064816,23.9,100,1657805887711,100
CHB,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
PDT,miscellaneous,cef,12.31,100,14.64,100,1657808005198,13.4,66,1657807870188,556
GPRK,energyminerals,cs,9.43,100,10.44,200,1657808986491,10.39,69,1657808841381,1009
SCHF,miscellaneous,et,30.01,15681,30.03,17480,1657809006486,29.995,100,1657808939305,79512
WKSP,n/a,n/a,1.59,200,1.74,100,1657808585204,0.0,0,0,0
ICD,industrialservices,cs,2.6,100,2.83,100,1657808541749,2.83,100,1657808072099,1250
ESGA,miscellaneous,et,41.98,100,54.85,100,1657806301090,0.0,0,0,0
VISL,electronictechnology,cs,0.5366,100,0.6361,100,1657807061285,0.0,0,0,0
MILEW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
XDSQ,n/a,n/a,20.74,100,24.42,100,1657806300224,22.52,12,1657807312337,12
CERE,finance,cs,24.74,100,29.48,108,1657808996123,27.13,32,1657808858770,2064
PMT,finance,cs,13.83,100,14.96,100,1657809005794,13.805,10,1657808779651,1584
BYNO,n/a,n/a,9.89,200,11.97,100,1657805446046,0.0,0,0,0
HIHO,producermanufacturing,cs,1.94,100,2.43,100,1657806559927,0.0,0,0,0
ANZU,n/a,n/a,9.76,200,11.77,133,1657805415321,0.0,0,0,0
SMCP,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
DGL,miscellaneous,et,48.11,100,48.24,100,1657809003584,0.0,0,0,0
QUIK,electronictechnology,cs,6.45,100,7.22,100,1657808551011,0.0,0,0,0
DECA,n/a,n/a,9.95,200,11.96,100,1657807808868,0.0,0,0,0
UCBI,finance,cs,27.36,133,29.93,200,1657809002331,29.93,3,1657808984515,4004
THCAU,finance,ut,10.17,1000,0.0,0,1657805403357,0.0,0,0,0
WBIY,miscellaneous,et,23.23,100,27.39,100,1657806309016,0.0,0,0,0
PTEN,industrialservices,cs,11.29,100,12.37,100,1657809003349,12.37,73,1657808991554,12603
LGACU,n/a,n/a,9.83,1000,0.0,0,1657805537640,0.0,0,0,0
APPN,technologyservices,cs,45.86,100,46.09,133,1657809001735,46.02,1,1657808955139,2924
ATNFW,healthtechnology,wt,0.0,0,0.0,0,1657805400000,0.0,0,0,0
OSCR,n/a,n/a,4.71,200,4.74,212,1657809003525,4.72,100,1657808570966,808
ETD,n/a,n/a,19.21,100,22.63,100,1657808971203,20.84,100,1657808891860,1162
HP,industrialservices,cs,37.82,200,40.85,100,1657809001142,37.88,12,1657808985035,10543
BLDE,n/a,n/a,4.69,100,4.72,200,1657809004350,4.68,93,1657808973194,688
TPBA,n/a,n/a,9.65,400,11.65,100,1657805403970,0.0,0,0,0
DRN,miscellaneous,et,12.71,100,14.93,100,1657806300732,0.0,0,0,0
LCW+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
CLAR,consumerdurables,cs,19.92,214,21.64,175,1657808999129,19.94,100,1657808862202,1363
OPT,healthtechnology,ad,2.56,100,9.6,100,1657805400629,0.0,0,0,0
SEDA+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
GGMCW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
SWBI,electronictechnology,cs,12.89,100,12.92,209,1657809005758,12.91,6,1657808998065,2313
CCTSW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
RZA,finance,ps,23.05,100,27.17,100,1657807137437,0.0,0,0,0
SLS,healthtechnology,cs,2.49,100,2.75,100,1657808583086,2.515,10,1657808455037,115
XSLV,miscellaneous,et,34.73,100,47.0,100,1657806300096,43.46,50,1657807210462,216
EVE+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
SNBR,consumerdurables,cs,32.04,101,34.58,100,1657808990494,32.09,1,1657808823622,7561
OVID,healthtechnology,cs,2.05,133,2.24,100,1657808982523,2.07,100,1657807354786,100
CNS,finance,cs,58.8,100,65.17,232,1657808968269,64.96,26,1657808783279,511
BAL,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
DIOD,electronictechnology,cs,64.02,410,64.29,114,1657809000396,63.81,1,1657808729114,820
FZT=,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
HTA,finance,cs,29.14,100,29.17,100,1657809003731,29.15,100,1657809002114,147303
MH-C,finance,ps,4.04,100,7.24,100,1657805700772,0.0,0,0,0
KACLR,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
AGGR,n/a,n/a,7.83,100,9.81,100,1657805400995,0.0,0,0,0
LMB,miscellaneous,cs,4.86,100,6.15,100,1657806520207,5.46,100,1657807892379,100
IVOV,miscellaneous,et,113.06,100,153.93,100,1657806300092,0.0,0,0,0
AUUD,n/a,n/a,0.8431,100,1.17,100,1657808245450,0.0,0,0,0
EDR,n/a,n/a,20.64,100,22.45,100,1657809006391,20.65,2,1657808955018,1490
PXS,transportation,cs,2.33,100,2.81,100,1657807986700,0.0,0,0,0
PTSI,transportation,cs,24.33,101,29.55,100,1657808725618,26.78,56,1657808696367,160
PSHG,transportation,cs,0.4985,100,0.595,100,1657806947513,0.5439,84,1657808143226,411
MNTK,n/a,n/a,8.97,100,9.81,100,1657809002343,9.81,1,1657808835142,781
GTPA,n/a,n/a,9.75,100,9.83,133,1657808761554,9.8,100,1657805402464,100
GSQD,n/a,n/a,9.81,1400,9.85,200,1657805402966,0.0,0,0,0
ECC-D,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
VBK,miscellaneous,et,180.85,100,212.71,100,1657808948123,195.98,50,1657808816810,2129
ABEQ,miscellaneous,et,24.05,100,28.28,100,1657806309002,0.0,0,0,0
RNDB,finance,cs,24.2,100,31.74,100,1657806561944,0.0,0,0,0
XPOA,n/a,n/a,9.95,161,11.96,100,1657805544356,9.96,100,1657807465746,500
